"RowIndex","Agent1","Agent2","CountryCode1","CountryCode2","Year","Theta1","Theta2","Lambda1","Lambda2","Prob_SQ","Prob_ACQ1","Prob_ACQ2","Prob_NEGO","Prob_CAP1","Prob_CAP2","Prob_WAR","Prediction","GroundTruth","PredictionCorrect","TotalProbability","U1_Acq1","U1_Acq2","U1_Cap1","U1_Cap2","U1_Nego","U1_SQ","U1_War1","U1_War2","U2_Acq1","U2_Acq2","U2_Cap1","U2_Cap2","U2_Nego","U2_SQ","U2_War1","U2_War2"
1,"ESTONIA","UNITED KINGDOM",366,200,1939,0,0,1,1,0.12301325412068943,0.329995489883804,0.1485339417088667,0.05826223126737455,0.17828842188565935,0.03987747744070692,0.12202918369289908,"ACQ1","SQ",0,1.,-1.112666,1.49916,-1.862086,1.425453,-0.458194,0.294146,-0.906611,-1.281321,1.401224,-1.180503,1.2333,-1.609618,0.293366,0.16449,-0.303673,-0.089115
2,"FRANCE","CHILE",220,155,1859,0,0,1,1,0.2254425012470872,0.020811086012645818,0.6900467054514712,0.004337903668379505,0.007545811613285418,0.018914352665050156,0.032901639342080735,"ACQ2","SQ",0,1.,-0.932808,1.363895,-0.978674,1.086043,1.258553,0.29121,0.957767,0.934834,0.828579,-1.251184,0.815373,-2.205835,-1.156869,-0.266488,-2.124727,-1.647401
3,"ARGENTINA","FRANCE",160,220,1907,0,0,1,1,0.5144294689413614,0.10232713225371154,0.3196588374416835,0.026045127028931067,0.03753258298277994,2.806711990003268e-6,4.044639542611765e-6,"SQ","SQ",1,1.,-1.231484,0.798387,-2.158809,0.817981,-1.083964,-0.269616,-1.528033,-1.991696,0.99704,-1.12953,1.252772,-1.181022,0.887538,-0.084356,1.091779,1.117525
4,"SINGAPORE","UNITED STATES",830,2,1982,0,0,1,1,0.534759058547013,0.0001758350195268219,0.4649122378637437,0.00006416146895351502,0.0000861085409867915,1.1095188751969062e-6,1.489040901007576e-6,"SQ","SQ",1,1.,-1.103577,1.111636,-1.85798,1.110344,-0.559527,0.005262,-0.93802,-1.315222,0.624006,-1.341238,0.619492,-1.483373,0.344677,-0.442062,0.198028,0.269095
5,"MALI","MAURITANIA",432,435,1984,0,0,1,1,0.35787273715423107,0.1096319710938417,0.40762273452844655,0.011207935005979684,0.014035878086612684,0.0442339073281304,0.05539483680275788,"ACQ2","SQ",0,0.9999999999999999,-0.461125,-0.365659,-0.474926,0.042201,-0.366977,-0.413568,0.033983,0.027082,-0.034699,-0.140975,-0.028421,-1.125794,-0.139362,-0.087882,-1.117903,-0.625493
6,"URUGUAY","RUSSIAN FEDERATION",165,365,1882,0,0,1,1,0.03848245867407879,0.40034460668832866,0.04921144562577989,0.04800934311930186,0.1725169005641044,0.06344648354014563,0.2279887617882608,"ACQ1","SQ",0,1.,-1.216938,0.857293,-1.909018,0.926954,-0.57824,-0.226232,-0.854618,-1.200658,1.118789,-1.074811,1.292989,-1.304808,0.614269,0.028542,0.558471,0.67347
7,"None","POLAND",315,290,1924,0,0,1,1,0.48326215661882044,0.04456222242133334,0.4323116133870866,0.01634847301751211,0.02163409915305652,0.0008098081343407762,0.001071627267850252,"SQ","SQ",1,1.,-0.087971,1.248564,-0.849954,1.096283,0.230147,0.639791,-0.303125,-0.684117,1.006852,-0.327111,0.661956,-0.788035,0.391996,0.371671,-0.413824,-0.183362
8,"CHINA","SOUTH AFRICA",710,560,1961,0,0,1,1,0.2372261268840411,0.03732058353024691,0.6268385946566739,0.0030068334375130536,0.006131771258566824,0.029439910021034375,0.060036180211923806,"ACQ2","SQ",0,1.,-0.724756,1.442716,-1.151929,1.172668,0.51683,0.471432,0.033194,-0.180392,1.079331,-1.004664,0.937969,-1.704808,-0.379765,0.047028,-1.22127,-0.871199
9,"UNITED KINGDOM","EGYPT",200,651,1938,0,0,1,1,0.4294212424042954,0.032501326538698985,0.5002177734743377,0.002424852072532315,0.0036189149884481324,0.012765023418764813,0.01905086710292253,"ACQ2","SQ",0,0.9999999999999998,-0.653893,-0.394372,-0.879304,0.012927,-0.452871,-0.525826,-0.158277,-0.270983,0.016576,-0.283,0.160782,-1.008752,-0.200842,-0.133754,-0.782387,-0.419511
10,"SRI LANKA","FRANCE",780,220,1973,0,0,1,1,0.5403553593972884,0.0009989297444592282,0.45779939846739404,0.00036876374036765367,0.0004761450494446863,6.126071570542056e-7,7.909938889190452e-7,"SQ","SQ",1,1.,-1.099253,1.119959,-1.865564,1.116796,-0.580648,0.013537,-0.966968,-1.350123,0.638327,-1.335807,0.626609,-1.470221,0.372975,-0.430615,0.226843,0.29405
11,"SPAIN","FRANCE",230,220,1838,0,0,1,1,0.06479562063779355,0.5032341667247486,0.049275194096501475,0.16701464937518273,0.09146339753893944,0.08026234417345111,0.04395462745338298,"ACQ1","SQ",0,1.,0.788579,0.790666,0.002292,0.621914,0.789025,0.789623,0.227129,-0.166015,0.717413,0.715308,0.096948,0.501082,0.716962,0.716361,-0.117729,-0.010616
12,"KENYA","SUDAN",501,625,1972,0,0,1,1,0.19105638180802628,0.044930028023503474,0.6185511796800317,0.0038609619054101514,0.007708186970658533,0.04468408074044446,0.08920918087192539,"ACQ2","SQ",0,1.,-1.109804,0.937469,-1.194783,1.035809,0.763493,-0.107473,0.819344,0.776854,0.085226,-1.477795,0.115907,-2.192313,-1.031581,-0.801575,-1.715418,-1.358159
13,"PANAMA","COSTA RICA",95,94,1963,0,0,1,1,0.06412256359786012,0.4905561688241849,0.05148050507914555,0.17206952572301834,0.13853148000892945,0.04611390563407973,0.03712585113278197,"ACQ1","SQ",0,1.,0.600148,0.602268,0.185232,0.250511,0.601389,0.601208,0.042173,-0.165285,0.655734,0.65362,0.406658,0.067913,0.654496,0.654677,-0.180287,0.112566
14,"CHILE","GERMANY",155,255,1940,0,0,1,1,0.02653445652068178,0.12207447387632106,0.15201777751933207,0.003801404495025192,0.02826573024656792,0.07910593342746892,0.588200223914603,"WAR1","SQ",0,1.,-1.620601,0.42347,-1.876093,0.998884,-0.098775,-0.772879,0.348893,0.221147,1.530574,-1.180293,1.9551,-1.631013,0.308731,0.278616,0.282537,0.507897
15,"HONDURAS","FRANCE",91,220,1915,0,0,1,1,0.5041989069875933,0.10944384935414775,0.31745001133973744,0.03296187543747321,0.034744192425927974,0.0005847723017894972,0.0006163921533308423,"SQ","SQ",1,0.9999999999999999,-1.155913,1.176447,-2.14199,1.176254,-1.123439,0.013904,-1.616671,-2.10971,1.208076,-1.137432,1.194386,-1.152808,1.172011,0.048064,1.142944,1.150632
16,"NEW ZEALAND","UNITED KINGDOM",920,200,1978,0,0,1,1,0.0001662258533381635,0.4848423617693225,0.00017650179639881007,0.1507734238036147,0.24065610108063631,0.04752640224142664,0.0758589834552629,"ACQ1","SQ",0,1.,-0.69389,1.087756,-1.398229,1.019164,-0.167128,0.231994,-0.587889,-0.940059,0.589691,-1.026771,0.424577,-1.315056,0.123689,-0.248997,-0.32971,-0.185568
17,"GAMBIA","JAPAN",420,740,1991,0,0,1,1,0.12399083369890032,0.20306548946009892,0.25512072880289505,0.08181208998597425,0.055014259883931146,0.1680152908920492,0.11298130727615115,"ACQ2","SQ",0,1.,-0.597514,1.723098,-1.581102,1.709737,-0.559427,0.81413,-1.064583,-1.556377,1.349893,-0.981843,0.631023,-1.098851,1.077061,0.250972,0.241183,0.299687
18,"FRANCE","CYPRUS",220,352,1976,0,0,1,1,0.2305409991283456,0.07176681647704572,0.532062503750573,0.01591685081664223,0.03498369588078767,0.03587636337593394,0.07885277057067193,"ACQ2","SQ",0,1.,-0.63488,1.74545,-1.167679,1.360076,0.477212,0.824858,-0.174562,-0.440962,0.930894,-1.275028,0.664972,-1.952644,-0.563874,-0.224532,-1.507411,-1.168603
19,"JAPAN","FRANCE",740,220,1910,0,0,1,1,0.10466690682948651,0.3109715831792994,0.14715507151345766,0.05237821500439579,0.14188094160542397,0.06550602394496897,0.1774412579229677,"ACQ1","SQ",0,1.,-0.884009,0.884604,-1.54024,0.884485,-0.276015,0.000349,-0.60425,-0.932366,1.257907,-0.598168,1.257725,-1.075223,0.372457,0.397205,-0.10478,0.133747
20,"ECUADOR","COLOMBIA",130,100,1867,0,0,1,1,0.5190665323057276,0.06394964455846157,0.3712458687970666,0.01940021820851449,0.026309888932606544,0.000011818867733507187,0.000016028329889674554,"SQ","SQ",1,1.,-1.074085,1.221335,-1.923679,1.206494,-0.72884,0.098673,-1.168478,-1.593275,1.136732,-1.125524,1.054886,-1.296059,0.750938,0.007422,0.498556,0.583824
21,"None","GERMANY",345,255,1939,0,0,1,1,0.44623666819331137,0.07433349719103197,0.41097086667156013,0.013324554104840335,0.0335576008724704,0.00613242740068368,0.015444385566102215,"SQ","SQ",1,1.,-0.749404,1.468104,-1.517147,1.356704,-0.234373,0.479642,-0.729644,-1.113516,1.218852,-0.952929,0.992489,-1.480987,0.072027,0.172026,-0.682394,-0.418365
22,"COLOMBIA","ITALY",100,325,1897,0,0,1,1,0.24264073024094646,0.23783594172324615,0.26235929244283784,0.026894832609874717,0.0941510745138931,0.030243684956695042,0.10587444351250666,"ACQ2","SQ",0,1.,-1.206412,0.804015,-1.927237,0.873574,-0.645151,-0.249158,-0.936005,-1.296418,1.199708,-0.978935,1.384318,-1.237997,0.635304,0.142979,0.560852,0.690383
23,"SAINT KITTS AND NEVIS","CHINA",60,710,1986,0,0,1,1,0.029536064522595128,0.33464365747182817,0.05156692594826754,0.033195217776264066,0.14914944899760443,0.07316609018623478,0.3287425950972059,"ACQ1","SQ",0,1.,-1.316829,1.153217,-1.936298,1.19744,-0.3769,-0.116214,-0.642412,-0.952147,1.362323,-1.205276,1.434487,-1.584321,0.389089,0.116127,0.082208,0.27173
24,"RUSSIAN FEDERATION","MAURITIUS",365,590,1991,0,0,1,1,0.22862549929565582,0.02126092910639828,0.6862921325167027,0.0023646021271504685,0.004225778892109048,0.020534272788926538,0.036696785273057156,"ACQ2","SQ",0,1.,-0.968342,1.214375,-1.105431,1.076654,0.915148,0.159601,0.708882,0.640338,0.908803,-1.152571,0.886956,-2.015682,-0.870393,-0.152637,-1.755352,-1.323796
